Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=  21.921	block_generate_parent() was asked to regenerate parent.
Seconds=  24.585	block_generate_parent() was asked to regenerate parent.
Seconds=  69.253	block_generate_parent() was asked to regenerate parent.
Seconds=  75.452	block_generate_parent() was asked to regenerate parent.
Seconds= 118.558	block_generate_parent() was asked to regenerate parent.
Seconds= 130.530	block_generate_parent() was asked to regenerate parent.
Seconds= 131.076	block_generate_parent() was asked to regenerate parent.
Seconds= 131.936	block_generate_parent() was asked to regenerate parent.
Seconds= 183.770	block_generate_parent() was asked to regenerate parent.
Seconds= 185.931	block_generate_parent() was asked to regenerate parent.
Seconds= 187.590	block_generate_parent() was asked to regenerate parent.
Seconds= 190.407	block_generate_parent() was asked to regenerate parent.
Seconds= 192.705	block_generate_parent() was asked to regenerate parent.
Seconds= 193.972	block_generate_parent() was asked to regenerate parent.
Seconds= 196.527	block_generate_parent() was asked to regenerate parent.
Seconds= 198.550	block_generate_parent() was asked to regenerate parent.
Seconds= 200.346	block_generate_parent() was asked to regenerate parent.
Seconds= 204.740	block_generate_parent() was asked to regenerate parent.
Seconds= 208.567	block_generate_parent() was asked to regenerate parent.
Seconds= 241.095	block_generate_parent() was asked to regenerate parent.
Seconds= 245.664	block_generate_parent() was asked to regenerate parent.
Seconds= 252.341	block_generate_parent() was asked to regenerate parent.
Seconds= 280.086	block_generate_parent() was asked to regenerate parent.
Seconds= 280.425	block_generate_parent() was asked to regenerate parent.
Seconds= 281.566	block_generate_parent() was asked to regenerate parent.
Seconds= 281.921	block_generate_parent() was asked to regenerate parent.
Seconds= 283.598	block_generate_parent() was asked to regenerate parent.
Seconds= 284.097	block_generate_parent() was asked to regenerate parent.
Seconds= 284.368	block_generate_parent() was asked to regenerate parent.
Seconds= 284.644	block_generate_parent() was asked to regenerate parent.
Seconds= 284.931	block_generate_parent() was asked to regenerate parent.
Seconds= 285.239	block_generate_parent() was asked to regenerate parent.
Seconds= 285.747	block_generate_parent() was asked to regenerate parent.
Seconds= 286.016	block_generate_parent() was asked to regenerate parent.
Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   7.357	block_generate_parent() was asked to regenerate parent.
Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   3.337	block_generate_parent() was asked to regenerate parent.
Seconds=  61.582	block_generate_parent() was asked to regenerate parent.
Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   3.056	block_generate_parent() was asked to regenerate parent.
Seconds=   0.000	



== PROGRAM START ======================================================




Seconds=   2.032	block_generate_parent() was asked to regenerate parent.
Seconds=   2.477	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   2.969	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.012	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.036	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.080	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.136	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.179	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.203	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.245	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.287	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.310	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.352	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.376	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.420	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.445	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.490	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.515	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.560	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.585	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.633	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   3.656	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.091	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.582	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.624	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.650	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.693	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.717	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.760	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.785	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.831	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.854	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=   6.895	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
